category,normalized_entity,term_frequency,category_document_frequency,idf,importance_score
adaptation,Al Tafila,1,1,1.916290731874155,1.916290731874155
adaptation,Aqaba,1,1,1.916290731874155,1.916290731874155
adaptation,Azraq,1,1,1.916290731874155,1.916290731874155
adaptation,Ban Ki-moon,1,1,1.916290731874155,1.916290731874155
adaptation,Bill Gates,1,1,1.916290731874155,1.916290731874155
adaptation,Climate Action Plan,1,1,1.916290731874155,1.916290731874155
adaptation,Costa Rica,1,1,1.916290731874155,1.916290731874155
adaptation,Costa Rica's,1,1,1.916290731874155,1.916290731874155
adaptation,Dead Sea,1,1,1.916290731874155,1.916290731874155
adaptation,"635,000 tonnes",1,1,1.916290731874155,1.916290731874155
adaptation,70,1,1,1.916290731874155,1.916290731874155
adaptation,"76,000",1,1,1.916290731874155,1.916290731874155
adaptation,IKEA Foundation,1,1,1.916290731874155,1.916290731874155
science,over 1 meter,1,1,1.916290731874155,1.916290731874155
science,"over 1,500",1,1,1.916290731874155,1.916290731874155
science,"roughly 1,500 billion tonnes",1,1,1.916290731874155,1.916290731874155
science,seven years,1,1,1.916290731874155,1.916290731874155
science,sixth,1,1,1.916290731874155,1.916290731874155
science,the Alfred Wegener Institute,1,1,1.916290731874155,1.916290731874155
science,the Aqaba Marine Science Station,1,1,1.916290731874155,1.916290731874155
science,the Dead Sea,1,1,1.916290731874155,1.916290731874155
science,the Doomsday Glacier,1,1,1.916290731874155,1.916290731874155
science,the Eastern Mediterranean,1,1,1.916290731874155,1.916290731874155
science,the European Space Agency's,1,1,1.916290731874155,1.916290731874155
science,the Global CCS Institute,1,1,1.916290731874155,1.916290731874155
science,the Great Barrier Reef Foundation,1,1,1.916290731874155,1.916290731874155
adaptation,Medina al-Munawwarah,1,1,1.916290731874155,1.916290731874155
adaptation,Delta,1,1,1.916290731874155,1.916290731874155
adaptation,Denmark,1,1,1.916290731874155,1.916290731874155
adaptation,Disi,1,1,1.916290731874155,1.916290731874155
adaptation,Disi Water Conveyance Project,1,1,1.916290731874155,1.916290731874155
adaptation,Djibouti,1,1,1.916290731874155,1.916290731874155
adaptation,GIZ,1,1,1.916290731874155,1.916290731874155
adaptation,German,1,1,1.916290731874155,1.916290731874155
adaptation,Great Green Wall,1,1,1.916290731874155,1.916290731874155
adaptation,Hussein Bin Talal,1,1,1.916290731874155,1.916290731874155
adaptation,Nine,1,1,1.916290731874155,1.916290731874155
adaptation,Noor-Ouarzazate,1,1,1.916290731874155,1.916290731874155
adaptation,Olkaria,1,1,1.916290731874155,1.916290731874155
adaptation,Only $21 billion,1,1,1.916290731874155,1.916290731874155
adaptation,Rajasthan,1,1,1.916290731874155,1.916290731874155
adaptation,Red Cross,1,1,1.916290731874155,1.916290731874155
adaptation,Indonesia,1,1,1.916290731874155,1.916290731874155
adaptation,IoT,1,1,1.916290731874155,1.916290731874155
adaptation,Italy,1,1,1.916290731874155,1.916290731874155
adaptation,January 2021,1,1,1.916290731874155,1.916290731874155
adaptation,Kalundborg Symbiosis,1,1,1.916290731874155,1.916290731874155
adaptation,KfW,1,1,1.916290731874155,1.916290731874155
adaptation,Singapore,1,1,1.916290731874155,1.916290731874155
adaptation,Sustainable City,1,1,1.916290731874155,1.916290731874155
adaptation,Syrian,1,1,1.916290731874155,1.916290731874155
adaptation,The African Development Bank's,1,1,1.916290731874155,1.916290731874155
adaptation,The African Union's Agenda,1,1,1.916290731874155,1.916290731874155
adaptation,The Bhadla Solar Park,1,1,1.916290731874155,1.916290731874155
adaptation,The Global Commission on Adaptation,1,1,1.916290731874155,1.916290731874155
adaptation,Ministry of Water and Irrigation,1,1,1.916290731874155,1.916290731874155
adaptation,NEOM,1,1,1.916290731874155,1.916290731874155
adaptation,National Adaptation Plan,1,1,1.916290731874155,1.916290731874155
adaptation,National Decarbonization Plan,1,1,1.916290731874155,1.916290731874155
adaptation,National Solar Mission,1,1,1.916290731874155,1.916290731874155
adaptation,Neom,1,1,1.916290731874155,1.916290731874155
adaptation,Netherlands,1,1,1.916290731874155,1.916290731874155
adaptation,The Middle East's,1,1,1.916290731874155,1.916290731874155
adaptation,The Red Sea's,1,1,1.916290731874155,1.916290731874155
adaptation,The Royal Scientific Society,1,1,1.916290731874155,1.916290731874155
adaptation,The Tuas Nexus,1,1,1.916290731874155,1.916290731874155
adaptation,The United Nations Industrial Development Organization,1,1,1.916290731874155,1.916290731874155
adaptation,USAID,1,1,1.916290731874155,1.916290731874155
adaptation,an estimated 22%,1,1,1.916290731874155,1.916290731874155
adaptation,"approximately 110,000",1,1,1.916290731874155,1.916290731874155
adaptation,River,1,1,1.916290731874155,1.916290731874155
adaptation,Sahel Initiative,1,1,1.916290731874155,1.916290731874155
adaptation,Senegal,1,1,1.916290731874155,1.916290731874155
adaptation,"approximately 43,000",1,1,1.916290731874155,1.916290731874155
adaptation,"approximately 80,000",1,1,1.916290731874155,1.916290731874155
adaptation,between 2020 and 2030,1,1,1.916290731874155,1.916290731874155
adaptation,daily,1,1,1.916290731874155,1.916290731874155
adaptation,nine consecutive years,1,1,1.916290731874155,1.916290731874155
adaptation,only 1.3%,1,1,1.916290731874155,1.916290731874155
adaptation,only 8 hours,1,1,1.916290731874155,1.916290731874155
adaptation,over 15 million,1,1,1.916290731874155,1.916290731874155
adaptation,over 30%,1,1,1.916290731874155,1.916290731874155
adaptation,over 99%,1,1,1.916290731874155,1.916290731874155
adaptation,rainwater harvesting,1,1,1.916290731874155,1.916290731874155
adaptation,rural health clinics,1,1,1.916290731874155,1.916290731874155
adaptation,The International Renewable Energy Agency,1,1,1.916290731874155,1.916290731874155
adaptation,The Kingdom of Jordan,1,1,1.916290731874155,1.916290731874155
adaptation,the Nile Delta,1,1,1.916290731874155,1.916290731874155
science,approximately 270 billion tonnes,1,1,1.916290731874155,1.916290731874155
science,approximately 34%,1,1,1.916290731874155,1.916290731874155
science,approximately 40%,1,1,1.916290731874155,1.916290731874155
science,approximately 400 hectares,1,1,1.916290731874155,1.916290731874155
science,approximately 50%,1,1,1.916290731874155,1.916290731874155
science,approximately 600 million tonnes,1,1,1.916290731874155,1.916290731874155
science,between 2006 and 2022,1,1,1.916290731874155,1.916290731874155
science,between 2012 and 2022,1,1,1.916290731874155,1.916290731874155
science,between 2015 and 2023,1,1,1.916290731874155,1.916290731874155
science,decades,1,1,1.916290731874155,1.916290731874155
science,fourth,1,1,1.916290731874155,1.916290731874155
science,mid-2023,1,1,1.916290731874155,1.916290731874155
science,mid-century,1,1,1.916290731874155,1.916290731874155
science,more than 2.5,1,1,1.916290731874155,1.916290731874155
adaptation,approximately 18 million,1,1,1.916290731874155,1.916290731874155
